id,post_id,parent_comment_id,Comment,sender_id,user_id,status,action,type,created_at,updated_at
1,NULL,NULL,NULL,4,7,1,Followed,Following,8/26/2019 9:43,8/26/2019 18:20
2,NULL,NULL,NULL,1,4,1,Followed,Following,8/26/2019 9:48,8/26/2019 13:05
3,NULL,NULL,NULL,3,45,0,Followed,Following,8/26/2019 9:51,8/26/2019 9:51
5,NULL,NULL,NULL,1,4,1,Followed,Following,8/26/2019 11:32,8/26/2019 13:05
7,278,NULL,Hey bro!,1,4,1,Commented,Post,8/26/2019 15:13,8/26/2019 15:13
8,360,NULL,"This is an interesting write-up. I have a question though, in the quest to create solutions that saves time for people, you end up spending quite a fair of time. Also, sometimes it might not really be worth it. What metric can be used to determine how to balance this appropriately?",3,7,1,Commented,Post,8/26/2019 18:10,8/26/2019 18:20
9,360,NULL,A nice write up,4,7,1,Commented,Post,8/26/2019 18:13,8/26/2019 18:20
10,NULL,NULL,NULL,3,363,0,Followed,Following,8/26/2019 18:31,8/26/2019 18:31
11,143,NULL,I have learnt how to publish an article and How to use Doc and to create a blog,2191,2191,0,Commented,Post,8/26/2019 18:44,8/26/2019 18:44
12,371,NULL,That's awesome,9,3,1,Commented,Post,8/26/2019 19:15,8/27/2019 11:15
13,NULL,NULL,NULL,834,856,0,Followed,Following,8/26/2019 19:32,8/26/2019 19:32
14,NULL,NULL,NULL,2240,59,0,Followed,Following,8/26/2019 20:11,8/26/2019 20:11
15,371,NULL,"wait, this works?",6,3,1,Commented,Post,8/26/2019 21:09,8/27/2019 11:15
16,371,NULL,uhm... not really...,6,3,1,Commented,Post,8/26/2019 21:09,8/27/2019 11:15
17,NULL,NULL,NULL,492,6,1,Followed,Following,8/26/2019 21:15,8/26/2019 23:39
18,NULL,NULL,NULL,2245,6,1,Followed,Following,8/26/2019 21:15,8/26/2019 23:39
19,NULL,NULL,NULL,1051,6,1,Followed,Following,8/26/2019 21:16,8/26/2019 23:39
20,NULL,NULL,NULL,710,6,1,Followed,Following,8/26/2019 21:19,8/26/2019 23:39
21,NULL,NULL,NULL,1043,11,0,Followed,Following,8/26/2019 21:22,8/26/2019 21:22
22,NULL,NULL,NULL,868,6,1,Followed,Following,8/26/2019 21:24,8/26/2019 23:39
23,NULL,NULL,NULL,612,6,1,Followed,Following,8/26/2019 21:28,8/26/2019 23:39
24,NULL,NULL,NULL,847,6,1,Followed,Following,8/26/2019 21:29,8/26/2019 23:39
25,NULL,NULL,NULL,1731,6,1,Followed,Following,8/26/2019 21:33,8/26/2019 23:39
26,371,NULL,But my posts are nowhere to be found. Excellent work boss... Kudos!!,489,3,1,Commented,Post,8/26/2019 21:41,8/27/2019 11:15
27,NULL,NULL,NULL,242,6,1,Followed,Following,8/26/2019 21:47,8/26/2019 23:39
28,NULL,NULL,NULL,1864,1147,0,Followed,Following,8/26/2019 21:56,8/26/2019 21:56
29,NULL,NULL,NULL,1864,118,0,Followed,Following,8/26/2019 21:57,8/26/2019 21:57
30,NULL,NULL,NULL,439,2218,0,Followed,Following,8/26/2019 22:50,8/26/2019 22:50
31,NULL,NULL,NULL,439,2218,0,Followed,Following,8/26/2019 22:50,8/26/2019 22:50
32,NULL,NULL,NULL,192,6,1,Followed,Following,8/26/2019 23:36,8/26/2019 23:39
33,NULL,NULL,NULL,550,6,1,Followed,Following,8/26/2019 23:54,8/27/2019 9:23
34,371,NULL,"Yay, a comment section too. Nice job",550,3,1,Commented,Post,8/26/2019 23:55,8/27/2019 11:15
35,NULL,NULL,NULL,1801,922,0,Followed,Following,8/27/2019 0:23,8/27/2019 0:23
36,NULL,NULL,NULL,1340,738,0,Followed,Following,8/27/2019 1:21,8/27/2019 1:21
37,NULL,NULL,NULL,1340,101,0,Followed,Following,8/27/2019 1:21,8/27/2019 1:21
